"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","Archmage11","niwrad","0-1","","1232","1277","","","","","l_299010","              10 min","57","checkmate"
"Abano Terme (Italy)","1980.??.??","8","Portisch Lajos (HUN)","Huebner Robert Dr (GER)","1/2-1/2","E52","2655","2600","","","","1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 5.Bd3 d5 6.Nf3 b6 7.O-O Bb7 8.a3 Bd6 9.b4 dxc4 10.Bxc4 Nbd7 11.Bb2 a5 12.b5 e5 13.Re1 e4 14.Nd2 Qe7 15.Be2 Rad8 16.f4 Nd5 17.Nxd5 Bxd5 18.Nc4 f5 19.Ne5 Qe6 20.Kh1 h6 21.Rg1 Nxe5 22.dxe5 Bc5 23.Qc1 Kh7 24.g4 g6 25.Rg3 Bb7 26.gxf5 gxf5 27.Bc4 Bd5 28.Bxd5 Rxd5 29.Qc2 Rg8 30.Rxg8 Kxg8 31.Rg1+ Kh7 32.Qg2 Rd7 33.Qg3 Bf8 34.Rc1 Qb3 35.Bd4 Bxa3 36.Ra1 Bf8 37.Qh3 Qe6 38.Qf1 Rd5 39.Qc4 Bc5 40.Rg1 Bxd4 41.exd4 e3 42.Kg2 Qg8+ 43.Kh1 Qe6 44.Kg2 Qg8+ 1/2-1/2')"">","o_299011","","",""
"","","","chessmasterbringit","squarepusher","0-1","","1152","1543","","","","","c_299011","1 hour","25—?","time"
"Abano Terme (Italy)","1980.??.??","10","Portisch Lajos (HUN)","Huebner Robert Dr (GER)","0-1","D41","2655","2600","","","","1.c4 c5 2.Nf3 Nf6 3.Nc3 e6 4.g3 Nc6 5.Bg2 d5 6.cxd5 Nxd5 7.O-O Be7 8.d4 O-O 9.Nxd5 exd5 10.dxc5 Bxc5 11.Qc2 Bb6 12.Rd1 Qf6 13.Bg5 Qe6 14.Bf4 h6 15.Qd3 Rd8 16.a4 Qe7 17.Bd2 Bg4 18.a5 Bc5 19.Rac1 a6 20.Re1 Rac8 21.h3 Be6 22.e3 Bb4 23.Ra1 Qd7 24.Kh2 Bf5 25.Qb3 Bxd2 26.Nxd2 d4 27.Nf1 d3 28.Red1 Qe7 29.Qa3 Nb4 30.e4 Be6 31.Rd2 Rd4 32.Ne3 Rc5 33.Rad1 Qd8 34.Nd5 Bxd5 35.exd5 Qxa5 36.Qxa5 Rxa5 37.Rc1 Nc2 38.Rcd1 Nb4 39.Rc1 b6 40.Rc3 g6 41.f4 Ra1 42.Bf3 b5 43.Kg2 Rc4 44.Kf2 Kf8 45.Bd1 Rxc3 46.bxc3 Nxd5 47.Rxd3 Nxc3 48.Bc2 b4 49.Ke3 a5 0-1')"">","o_299012","","",""
"","","","56Lon","alinoe","0-1","","1697","1677","","","","","l_299012","              2 min","26","resignation"
"Adelaide (Australia)","1980.??.??","?","Barber Haydn J (AUS)","Hamilton Douglas G (AUS)","1/2-1/2","B89","2243","2268","","","","1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 d6 6.Bc4 e6 7.Be3 Be7 8.Qe2 O-O 9.O-O-O Bd7 10.Bb3 Qb8 11.Rhg1 Nxd4 12.Bxd4 b5 13.g4 b4 14.g5 Ne8 15.Nd5 exd5 16.Bxd5 Be6 17.Bxa8 Qxa8 18.b3 Qc8 19.f4 f5 20.Rde1 fxe4 21.Qxe4 Bf5 22.Qd5+ Rf7 23.c4 Nc7 24.Qc6 Bg6 25.Kb2 Bf8 26.c5 Rxf4 27.cxd6 Rxd4 28.dxc7 Rd2+ 29.Ka1 Rd7 30.Rc1 Bd6 31.Qd5+ Bf7 32.Qf5 Bg6 33.Qe6+ Bf7 34.Qf5 Bxc7 35.Rgd1 Rd8 36.Qxc8 Rxc8 37.Rxc7 Rxc7 38.Rd8+ Be8 39.Rxe8+ Kf7 40.Re2 a5 41.Re5 1/2-1/2')"">","o_299013","","",""
"Adelaide (Australia)","1980.??.??","?","Curtis John (AUS)","Barber Haydn J (AUS)","1-0","A89","2292","2243","","","","1.d4 f5 2.c4 Nf6 3.Nc3 g6 4.g3 Bg7 5.Bg2 O-O 6.Nf3 d6 7.O-O Nc6 8.d5 Ne5 9.Qc2 Nxc4 10.Nb5 a6 11.Nbd4 Nb6 12.Ng5 Nbxd5 13.Nge6 Qd7 14.Qb3 c6 15.Nxf8 Kxf8 16.Rd1 e5 17.Nc2 Qc7 18.Ne3 Be6 19.Nxd5 Nxd5 20.Qa3 Ke7 21.Bg5+ Nf6 22.Rac1 Rd8 23.Qb4 e4 24.f3 a5 25.Qa3 h6 26.Bxf6+ Bxf6 27.fxe4 Qb6+ 28.Kh1 Bxb2 29.Qd3 Bxc1 30.Rxc1 Rd7 31.Qc3 Bxa2 32.exf5 gxf5 33.e4 Bf7 34.exf5 Qb4 35.Qh8 Rd8 36.f6+ Kd7 37.Qh7 Rf8 38.Rb1 Qa3 39.Rxb7+ Ke6 40.Re7+ Kxf6 41.Re1 d5 42.Qxh6+ Bg6 43.Rf1+ Ke5 44.Qg7+ Ke6 45.Qxg6+ Ke7 46.Qg7+ Ke8 47.Qe5+ Qe7 48.Qb8+ Kd7 49.Bh3+ 1-0')"">","o_299014","","",""
"","","","michalaras","K1d","0-1","","1085","1107","","","","","l_299014","              10 min","4","resignation"
"Adelaide (Australia)","1980.??.??","?","Curtis John (AUS)","Morris Colin (AUS)","1-0","B08","2292","2240","","","","1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O c6 7.a4 Qc7 8.Re1 e5 9.h3 exd4 10.Nxd4 Re8 11.Bf3 Nbd7 12.Nb3 a5 13.Be3 Ne5 14.Be2 Be6 15.Nd4 Bc4 16.Bd3 Nfd7 17.f4 Nxd3 18.cxd3 Ba6 19.Qc2 Nc5 20.Rad1 Qb6 21.Nf3 Qb4 22.d4 Nd7 23.e5 Bc4 24.Qf2 Rad8 25.Ne4 Nb6 26.Bd2 Qxa4 27.Nxd6 Rxd6 28.exd6 Rxe1+ 29.Rxe1 Be6 30.Ne5 Qb5 31.Bc3 Qd5 32.Nd3 Nd7 33.Nc5 b6 34.Rxe6 bxc5 35.Re8+ Bf8 36.dxc5 Nxc5 37.Qd4 Qxd4+ 38.Bxd4 1-0')"">","o_299015","","",""
"","","","harshpanwanda","rain-rain","","","902","1197","","","","","l_299015","              5 min","35","resignation"
