"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"","","","NM","Computer3-HARD","","","2641","2482","","","","","l_194012","              1 min","65","time"
"Groningen (Netherlands)","1971.12.??","5","Dieks Roy G (NED)","Meiklejohn Ian","1-0","B44","2265","0","","","","1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5 d6 6.c4 Nf6 7.N1c3 a6 8.Na3 Be7 9.Be2 O-O 10.O-O Bd7 11.Be3 b6 12.f3 Ra7 13.Rf2 Qb8 14.Bf1 Rd8 15.Nc2 a5 16.Rd2 Be8 17.Qe1 Nd7 18.Nb5 Rb7 19.Rad1 Nc5 20.Qg3 Rbd7 21.Bf4 e5 22.Be3 Bf8 23.Nc3 Kh8 24.Na3 f6 25.Qf2 Ne7 26.g3 Rb7 27.Bh3 Bf7 28.Nab5 Nc6 29.Nd5 Bxd5 30.cxd5 Na7 31.Bf1 g6 32.b3 Nxb5 33.Bxb5 Rf7 34.Rc2 f5 35.Qg2 Be7 36.Rb1 Rdf8 37.Be2 Qd8 38.Kh1 fxe4 39.fxe4 Bg5 40.Bg1 Kg7 41.Bb5 Rf3 42.Be2 R3f7 43.b4 axb4 44.Rxb4 Ra7 45.Rcb2 Bc1 46.Rb1 Ba3 47.Rxb6 Ra4 48.Bxc5 Bxc5 49.Rb7+ Kh8 50.Qh3 h5 51.Bxh5 1-0')"">","o_194013","","",""
"","","","scorpios2","Baumchen","1-0","","1306","1303","","","","","l_194013","              15|10","13","resignation"
"Groningen (Netherlands)","1971.12.??","6","Dieks Roy G (NED)","Pujol Sans Manuel (ESP)","1/2-1/2","A04","2265","2242","","","","1.e4 c5 2.Nf3 Nc6 3.d3 g6 4.g3 Bg7 5.Bg2 e6 6.O-O Nge7 7.Re1 O-O 8.e5 d5 9.exd6 Qxd6 10.Nbd2 b6 11.Nc4 Qd8 12.Nfe5 Bb7 13.Bf4 b5 14.Nd2 Qc8 15.Ne4 Bxe5 16.Bxe5 Nxe5 17.Nd6 Qc7 18.Nxb7 Rab8 19.Nxc5 Qxc5 20.d4 Qb4 21.dxe5 Qxb2 22.Qd7 Nf5 23.Qxa7 Qxc2 24.Rad1 Rbd8 25.Rxd8 Rxd8 26.Qb6 Rd1 27.Rxd1 Qxd1+ 28.Bf1 Nd4 29.Qd8+ Kg7 30.Qf6+ Kg8 31.Kg2 Qa1 32.a3 Qb2 33.h4 h5 34.Bd3 Qc3 35.Be4 Nf5 36.Qd8+ Kg7 37.Qb8 Qxa3 38.Qxb5 Qc3 39.Qb8 Qd4 40.Bc6 Qc5 41.Qb5 Qxb5 42.Bxb5 Nh6 43.Be2 Nf5 44.Kf3 Ne7 45.Ke4 Nf5 46.Bb5 Kf8 47.Kf4 Kg7 48.Bd3 Ne7 49.Be4 Ng8 50.Kg5 Nh6 51.f3 Ng8 52.Kf4 Nh6 53.Ke3 Kf8 54.Kd4 Ke7 55.Kc5 Kd7 56.Kb6 Kd8 57.Kc6 Ke7 58.Kc7 Ng8 59.g4 hxg4 60.fxg4 Nh6 61.Bf3 Ng8 62.g5 Ke8 63.Bc6+ Kf8 64.Kd7 Ne7 65.Bf3 Nf5 66.h5 gxh5 67.Bxh5 Ng3 68.Bf3 Kg7 69.Ke7 Kg6 70.Bd1 Kxg5 71.Bc2 1/2-1/2')"">","o_194014","","",""
"","","","flaco1337","akalabya","0-1","","1529","1605","","","","","l_194014","              3 min","39","time"
"Groningen (Netherlands)","1971.12.??","3","Gorchakov Alexander","Baljon Christofoor (NED)","1-0","B53","0","2235","","","","1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4 Nc6 5.Bb5 Qa5+ 6.Nc3 Bd7 7.Bxc6 bxc6 8.e5 d5 9.b4 Qb6 10.Na4 Qxd4 11.Nxd4 a5 12.Nb6 Ra6 13.bxa5 Rxa5 14.Nb3 Rb5 15.Be3 e6 16.a4 Rb4 17.a5 c5 18.a6 Rxb6 19.a7 Bc6 20.a8Q+ Bxa8 21.Rxa8+ Kd7 22.Rxf8 d4 23.Bf4 c4 24.Nc1 Rb2 25.Kd1 Nf6 26.Rxh8 Ne4 27.Re1 Nxf2+ 28.Ke2 Rxc2+ 29.Kf3 d3 30.Rf1 1-0')"">","o_194015","","",""
"","","","wafs007","everythingcool","0-1","","1412","1411","","","","","l_194015","              5 min","27","checkmate"
"Groningen (Netherlands)","1971.12.??","5","Gorchakov Alexander","Ost-Hansen Jacob (DEN)","1/2-1/2","B10","0","2416","","","","1.e4 c6 2.d3 d5 3.Nd2 g6 4.Ngf3 Bg7 5.g3 a5 6.Bg2 e5 7.O-O Ne7 8.c3 O-O 9.Re1 Nd7 10.d4 exd4 1/2-1/2')"">","o_194016","","",""
"","","","Uncle_Buck","Eypadilla","","","1571","1460","","","","","l_194016","              1 min","35","time"
"Groningen (Netherlands)","1971.12.??","2","Gorchakov Alexander","Velikov Petar (BUL)","0-1","A36","0","2449","","","","1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 e6 6.e4 Nge7 7.Bg5 a6 8.Qd2 Rb8 9.Bh6 O-O 10.Bxg7 Kxg7 11.Nge2 e5 12.a4 d6 13.O-O Qa5 14.Qd1 Bg4 15.f3 Bd7 16.Rf2 Nd4 17.Nxd4 cxd4 18.Nd5 Nxd5 19.exd5 Qb4 20.Qd2 Qxd2 21.Rxd2 Rfc8 22.Bf1 Kf8 23.b4 b5 24.axb5 axb5 25.Ra7 Ke8 26.Rb2 Kd8 27.f4 bxc4 28.dxc4 e4 29.b5 d3 30.Ra4 Ra8 31.Rxa8 Rxa8 32.b6 Rb8 33.Kf2 f5 34.Ke3 Kc8 35.Kd4 Kb7 36.c5 dxc5+ 37.Kxc5 Rc8+ 38.Kd6 Rc2 39.Rb4 Rc1 40.Kxd7 Rxf1 41.Rd4","o_194017","","",""
