"type","ID","pgn","color","move","piece","x","y","sq"
"livechess","1031108541","16.Qxh7#","white","16","Queen","h","7","h7"
"livechess","1031135367","46.a5","white","46","pawn","a","5","a5"
"livechess","1031150074","55.a4","white","55","pawn","a","4","a4"
"livechess","1031162940","86...Kb3","black","86","King","b","3","b3"
"livechess","1031178730","36.Qxa5#","white","36","Queen","a","5","a5"
"livechess","1031516230","73...b3","black","73","pawn","b","3","b3"
"livechess","1031585708","34.Rh1#","white","34","Rook","h","1","h1"
"livechess","1031604293","13...Qxg2#","black","13","Queen","g","2","g2"
"livechess","1031623543","54...Ke6","black","54","King","e","6","e6"
"livechess","1031640551","32.Qxg7#","white","32","Queen","g","7","g7"
"livechess","1033800327","53...Qxg4#","black","53","Queen","g","4","g4"
"livechess","1033809299","29.Qxg7#","white","29","Queen","g","7","g7"
"livechess","1033813502","54...Rh3#","black","54","Rook","h","3","h3"
"livechess","1033819915","25.Ke2#","white","25","King","e","2","e2"
"livechess","1033822023","70.Qh7#","white","70","Queen","h","7","h7"
"livechess","1034567042","9...Qxg2#","black","9","Queen","g","2","g2"
"livechess","1035156397","24.h3#","white","24","pawn","h","3","h3"
"livechess","1035174826","29...Qb1#","black","29","Queen","b","1","b1"
"livechess","1035193646","23.Qh6#","white","23","Queen","h","6","h6"
"livechess","1035261722","74.Ra7#","white","74","Rook","a","7","a7"
"livechess","1035277251","17.Qxg7#","white","17","Queen","g","7","g7"
"livechess","1035281967","35.Qa7#","white","35","Queen","a","7","a7"
"livechess","1035953776","51...Qd1#","black","51","Queen","d","1","d1"
"livechess","1035961955","23.Qe7#","white","23","Queen","e","7","e7"
"livechess","1035967391","17.Bg5#","white","17","Bishop","g","5","g5"
"livechess","1035984510","33...Ra8#","black","33","Rook","a","8","a8"
"livechess","1036387579","41.Rxg6#","white","41","Rook","g","6","g6"
"livechess","1036394831","53...Qb1+","black","53","Queen","b","1","b1"
"livechess","1036400135","59...Rb6#","black","59","Rook","b","6","b6"
"livechess","1036574406","21.Qxg7#","white","21","Queen","g","7","g7"
"livechess","1038203421","57.Re5+","white","57","Rook","e","5","e5"
"livechess","1038212938","36.Qg6#","white","36","Queen","g","6","g6"
"livechess","1040241293","26.Qg7#","white","26","Queen","g","7","g7"
"livechess","1040293243","13...Nxe2#","black","13","Knight","e","2","e2"
"livechess","1040295514","27.Qf6#","white","27","Queen","f","6","f6"
"livechess","1040344063","33...Qg1#","black","33","Queen","g","1","g1"
"livechess","1040383949","17...Qd3#","black","17","Queen","d","3","d3"
"livechess","1040386599","23...Qxd1#","black","23","Queen","d","1","d1"
"livechess","1041385147","24.Qe7#","white","24","Queen","e","7","e7"
"livechess","1045299164","1.e4","white","1","pawn","e","4","e4"
"livechess","1045299164","1...e6","black","1","pawn","e","6","e6"
"livechess","1045299164","2.d4","white","2","pawn","d","4","d4"
"livechess","1045299164","2...b6","black","2","pawn","b","6","b6"
"livechess","1045299164","3.c4","white","3","pawn","c","4","c4"
"livechess","1045299164","3...Qh4","black","3","Queen","h","4","h4"
"livechess","1045299164","4.Nc3","white","4","Knight","c","3","c3"
"livechess","1045299164","4...Nf6","black","4","Knight","f","6","f6"
"livechess","1045299164","5.Nf3","white","5","Knight","f","3","f3"
"livechess","1045299164","5...Qh5","black","5","Queen","h","5","h5"
"livechess","1045299164","6.Be2","white","6","Bishop","e","2","e2"
"livechess","1045299164","6...Qa5","black","6","Queen","a","5","a5"
"livechess","1045299164","8.e5","white","8","pawn","e","5","e5"
"livechess","1045299164","8...Bxc3","black","8","Bishop","c","3","c3"
"livechess","1045299164","9.exf6","white","9","pawn","f","6","f6"
"livechess","1045299164","9...Bb4","black","9","Bishop","b","4","b4"
"livechess","1045299164","10.fxg7","white","10","pawn","g","7","g7"
"livechess","1045299164","10...Rg8","black","10","Rook","g","8","g8"
"livechess","1045299164","11.Bh6","white","11","Bishop","h","6","h6"
"livechess","1045299164","11...Bd6","black","11","Bishop","d","6","d6"
"livechess","1045299164","12.a3","white","12","pawn","a","3","a3"
"livechess","1045299164","12...Qh5","black","12","Queen","h","5","h5"
"livechess","1045299164","13.Qd2","white","13","Queen","d","2","d2"
"livechess","1045299164","13...Bb7","black","13","Bishop","b","7","b7"
"livechess","1045299164","14.Ne5","white","14","Knight","e","5","e5"
"livechess","1045299164","14...Bxe5","black","14","Bishop","e","5","e5"
"livechess","1045299164","15.Bxh5","white","15","Bishop","h","5","h5"
"livechess","1045299164","15...Bxg7","black","15","Bishop","g","7","g7"
"livechess","1045299164","16.Bxg7","white","16","Bishop","g","7","g7"
"livechess","1045299164","16...Rxg7","black","16","Rook","g","7","g7"
"livechess","1045299164","17.f3","white","17","pawn","f","3","f3"
"livechess","1045299164","17...Nc6","black","17","Knight","c","6","c6"
"livechess","1045299164","18.Qh6","white","18","Queen","h","6","h6"
"livechess","1045299164","18...Rg8","black","18","Rook","g","8","g8"
"livechess","1045299164","19.Qf6","white","19","Queen","f","6","f6"
"livechess","1045299164","19...Nd8","black","19","Knight","d","8","d8"
"livechess","1045299164","20.Rae1","white","20","Rook","e","1","e1"
"livechess","1045299164","20...d6","black","20","pawn","d","6","d6"
"livechess","1045299164","21.d5","white","21","pawn","d","5","d5"
"livechess","1045299164","21...e5","black","21","pawn","e","5","e5"
"livechess","1045299164","22.f4","white","22","pawn","f","4","f4"
"livechess","1045299164","22...Kd7","black","22","King","d","7","d7"
"livechess","1045299164","23.Qf5+","white","23","Queen","f","5","f5"
"livechess","1045299164","23...Ke7","black","23","King","e","7","e7"
"livechess","1045299164","24.fxe5","white","24","pawn","e","5","e5"
"livechess","1045299164","24...h6","black","24","pawn","h","6","h6"
"livechess","1045299164","25.Bxf7","white","25","Bishop","f","7","f7"
"livechess","1045299164","25...Nxf7","black","25","Knight","f","7","f7"
"livechess","1045299164","26.Qxf7+","white","26","Queen","f","7","f7"
"livechess","1045299164","26...Kd8","black","26","King","d","8","d8"
"livechess","1045299164","27.Qxg8+","white","27","Queen","g","8","g8"
"livechess","1045299164","27...Ke7","black","27","King","e","7","e7"
"livechess","1045299164","28.Rf7#","white","28","Rook","f","7","f7"
"livechess","1015670819","1.e4","white","1","pawn","e","4","e4"
"livechess","1015670819","2.Nf3","white","2","Knight","f","3","f3"
"livechess","1015670819","3.d4","white","3","pawn","d","4","d4"
"livechess","1015670819","4.Bg5","white","4","Bishop","g","5","g5"
"livechess","1015670819","5.Bd3","white","5","Bishop","d","3","d3"
"livechess","1015670819","6.e5","white","6","pawn","e","5","e5"
"livechess","1015670819","7.Bh4","white","7","Bishop","h","4","h4"
"livechess","1015670819","8.O-O","white","8","King & Rook","multiple","1|8","O"
"livechess","1015670819","9.Be2","white","9","Bishop","e","2","e2"
"livechess","1015670819","10.Bg3","white","10","Bishop","g","3","g3"
"livechess","1015670819","11.Nc3","white","11","Knight","c","3","c3"
"livechess","1015670819","12.Bb5","white","12","Bishop","b","5","b5"
"livechess","1015670819","14.Be2","white","14","Bishop","e","2","e2"
"livechess","1015670819","15.c4","white","15","pawn","c","4","c4"
"livechess","1015670819","16.Nd2","white","16","Knight","d","2","d2"
"livechess","1015670819","17.Bg4","white","17","Bishop","g","4","g4"
"livechess","1015670819","18.f4","white","18","pawn","f","4","f4"
"livechess","1015670819","20.f5","white","20","pawn","f","5","f5"
"livechess","1015670819","24.d5","white","24","pawn","d","5","d5"
"livechess","1015670819","25.Kh1","white","25","King","h","1","h1"
"livechess","1015670819","27.Re1+","white","27","Rook","e","1","e1"
"livechess","1015670819","28.Ne4","white","28","Knight","e","4","e4"
"livechess","1015670819","29.Qf3","white","29","Queen","f","3","f3"
"livechess","1015670819","31.Rad1","white","31","Rook","d","1","d1"
"livechess","1015670819","32.Qf5","white","32","Queen","f","5","f5"
"livechess","1015670819","33.Qd7+","white","33","Queen","d","7","d7"
"livechess","1015670819","35.Qg3+","white","35","Queen","g","3","g3"
"livechess","1015670819","36.Qb3","white","36","Queen","b","3","b3"
"livechess","1015670819","37.d6+","white","37","pawn","d","6","d6"
"livechess","1015670819","38.Re7+","white","38","Rook","e","7","e7"
"livechess","1015670819","39.Qg3+","white","39","Queen","g","3","g3"
"livechess","1015670819","40.Qf3+","white","40","Queen","f","3","f3"
"livechess","1015670819","41.g3+","white","41","pawn","g","3","g3"
"livechess","1015670819","42.g4+","white","42","pawn","g","4","g4"
