"type","ID","pgn","color","move","piece","x","y","sq"
"echess","103058746","34.b7","white","34","pawn","b","7","b7"
"echess","103058746","34...Rb8","black","34","Rook","b","8","b8"
"echess","103058746","35.Ra8","white","35","Rook","a","8","a8"
"echess","103054734","1.e3","white","1","pawn","e","3","e3"
"echess","103054734","1...e5","black","1","pawn","e","5","e5"
"echess","103054734","2.h3","white","2","pawn","h","3","h3"
"echess","103054734","2...Nf6","black","2","Knight","f","6","f6"
"echess","103054734","3.b3","white","3","pawn","b","3","b3"
"echess","103054734","3...d5","black","3","pawn","d","5","d5"
"echess","103054734","4.Nc3","white","4","Knight","c","3","c3"
"echess","103054734","4...d4","black","4","pawn","d","4","d4"
"echess","103054734","5.Na4","white","5","Knight","a","4","a4"
"echess","103054734","5...a6","black","5","pawn","a","6","a6"
"echess","103054734","6.Nf3","white","6","Knight","f","3","f3"
"echess","103054734","6...b5","black","6","pawn","b","5","b5"
"echess","103054734","7.Nb2","white","7","Knight","b","2","b2"
"echess","103054734","7...Nc6","black","7","Knight","c","6","c6"
"echess","103054734","8.Ng5","white","8","Knight","g","5","g5"
"echess","103054734","8...h6","black","8","pawn","h","6","h6"
"echess","103054734","9.Nf3","white","9","Knight","f","3","f3"
"echess","103054734","9...Bb7","black","9","Bishop","b","7","b7"
"echess","103054734","10.Nh2","white","10","Knight","h","2","h2"
"echess","103054734","10...Bc5","black","10","Bishop","c","5","c5"
"echess","103054734","11.Bd3","white","11","Bishop","d","3","d3"
"echess","103054734","11...Ne7","black","11","Knight","e","7","e7"
"echess","103054734","12.f3","white","12","pawn","f","3","f3"
"echess","103054734","12...O-O","black","12","pawn","multiple","1|8","castle"
"echess","103054734","13.Ng4","white","13","Knight","g","4","g4"
"echess","103054734","13...Qd6","black","13","Queen","d","6","d6"
"echess","103054734","14.Kf2","white","14","King","f","2","f2"
"echess","103054734","14...Rad8","black","14","Rook","d","8","d8"
"echess","103054734","15.a4","white","15","pawn","a","4","a4"
"echess","103054734","15...Bc6","black","15","Bishop","c","6","c6"
"echess","102202308","1.e3","white","1","pawn","e","3","e3"
"echess","102202308","1...e6","black","1","pawn","e","6","e6"
"echess","102202308","2.b3","white","2","pawn","b","3","b3"
"echess","102202308","2...Nc6","black","2","Knight","c","6","c6"
"echess","102202308","3.Bb2","white","3","Bishop","b","2","b2"
"echess","102202308","3...Qg5","black","3","Queen","g","5","g5"
"echess","102202308","4.g3","white","4","pawn","g","3","g3"
"echess","102202308","4...h6","black","4","pawn","h","6","h6"
"echess","102202308","5.Bg2","white","5","Bishop","g","2","g2"
"echess","102202308","5...Bb4","black","5","Bishop","b","4","b4"
"echess","102202308","6.Nh3","white","6","Knight","h","3","h3"
"echess","102202308","6...Qg6","black","6","Queen","g","6","g6"
"echess","102202308","7.Nf4","white","7","Knight","f","4","f4"
"echess","102202308","7...Qg5","black","7","Queen","g","5","g5"
"echess","102202308","8.h4","white","8","pawn","h","4","h4"
"echess","102202308","8...Qb5","black","8","Queen","b","5","b5"
"echess","102202308","9.Bxg7","white","9","Bishop","g","7","g7"
"echess","102202308","9...Rh7","black","9","Rook","h","7","h7"
"echess","102202308","10.Nh5","white","10","Knight","h","5","h5"
"echess","102202308","10...b6","black","10","pawn","b","6","b6"
"echess","102202308","11.Bf6","white","11","Bishop","f","6","f6"
"echess","102202308","11...Bb7","black","11","Bishop","b","7","b7"
"echess","102202308","12.f4","white","12","pawn","f","4","f4"
"echess","102202308","12...Nge7","black","12","Knight","e","7","e7"
"echess","102202308","13.Ng7+","white","13","Knight","g","7","g7"
"echess","102202308","13...Kf8","black","13","King","f","8","f8"
"echess","102202308","14.Nh5","white","14","Knight","h","5","h5"
"echess","102202308","14...Nf5","black","14","Knight","f","5","f5"
"echess","102202308","15.Nc3","white","15","Knight","c","3","c3"
"echess","102202308","15...Qc5","black","15","Queen","c","5","c5"
"echess","102202308","1.c4","white","1","pawn","c","4","c4"
"echess","102202308","2.d3","white","2","pawn","d","3","d3"
"echess","102202308","2...h6","black","2","pawn","h","6","h6"
"echess","102202308","3.e4","white","3","pawn","e","4","e4"
"echess","102202308","3...b6","black","3","pawn","b","6","b6"
"echess","102202308","4.Nc3","white","4","Knight","c","3","c3"
"echess","102202308","4...Bb7","black","4","Bishop","b","7","b7"
"echess","102202308","5.Nf3","white","5","Knight","f","3","f3"
"echess","102202308","5...Na6","black","5","Knight","a","6","a6"
"echess","102202308","6.Be2","white","6","Bishop","e","2","e2"
"echess","102202308","6...Bc5","black","6","Bishop","c","5","c5"
"echess","102202308","7.O-O","white","7","pawn","multiple","1|8","castle"
"echess","102202308","7...g5","black","7","pawn","g","5","g5"
"echess","102202308","8.d4","white","8","pawn","d","4","d4"
"echess","102202308","8...g4","black","8","pawn","g","4","g4"
"echess","102202308","9.dxc5","white","9","pawn","c","5","c5"
"echess","102202308","9...gxf3","black","9","pawn","f","3","f3"
"echess","102202308","10.Bxf3","white","10","Bishop","f","3","f3"
"echess","102202308","10...Nxc5","black","10","Knight","c","5","c5"
"echess","102202308","11.b4","white","11","pawn","b","4","b4"
"echess","102202308","11...Na6","black","11","Knight","a","6","a6"
"echess","102202308","12.a3","white","12","pawn","a","3","a3"
"echess","102202308","12...Qh4","black","12","Queen","h","4","h4"
"echess","102202308","13.g3","white","13","pawn","g","3","g3"
"echess","102202308","13...Qe7","black","13","Queen","e","7","e7"
"echess","102202308","14.Bb2","white","14","Bishop","b","2","b2"
"echess","102202308","14...e5","black","14","pawn","e","5","e5"
"echess","102202308","15.Nd5","white","15","Knight","d","5","d5"
"echess","102202308","15...Qe6","black","15","Queen","e","6","e6"
"echess","103054734","16.Qe2","white","16","Queen","e","2","e2"
"echess","103054734","16...Nxg4+","black","16","Knight","g","4","g4"
"echess","103054734","17.hxg4","white","17","pawn","g","4","g4"
"echess","103054734","17...Qd7","black","17","Queen","d","7","d7"
"echess","103054734","18.a5","white","18","pawn","a","5","a5"
"echess","103054734","18...Ng6","black","18","Knight","g","6","g6"
"echess","103054734","19.Bf5","white","19","Bishop","f","5","f5"
"echess","103054734","19...Qd6","black","19","Queen","d","6","d6"
"echess","103054734","20.Nd3","white","20","Knight","d","3","d3"
"echess","103054734","20...dxe3+","black","20","pawn","e","3","e3"
"echess","103054734","21.dxe3","white","21","pawn","e","3","e3"
"echess","103054734","21...Nf4","black","21","Knight","f","4","f4"
"echess","103054734","22.Qd2","white","22","Queen","d","2","d2"
"echess","103054734","22...Rfe8","black","22","Rook","e","8","e8"
"echess","103054734","23.Qc3","white","23","Queen","c","3","c3"
"echess","103054734","23...Ba7","black","23","Bishop","a","7","a7"
"echess","103054734","24.Ba3","white","24","Bishop","a","3","a3"
"echess","103054734","24...Nxd3+","black","24","Knight","d","3","d3"
"echess","103054734","25.cxd3","white","25","pawn","d","3","d3"
"echess","103054734","25...Qf6","black","25","Queen","f","6","f6"
"echess","103054734","26.Rac1","white","26","Rook","c","1","c1"
"echess","103054734","26...Bd7","black","26","Bishop","d","7","d7"
"echess","104031688","15.Rd5","white","15","Rook","d","5","d5"
"echess","104031688","14.Rxd6","white","14","Rook","d","6","d6"
"echess","104031688","13.O-O-O","white","13","pawn","multiple","1|8","castle"
"echess","104031688","13...O-O","black","13","pawn","multiple","1|8","castle"
"echess","104031688","12.dxc3","white","12","pawn","c","3","c3"
"echess","104031688","12...Rxd8","black","12","Rook","d","8","d8"
"echess","104031688","11.Nxd8","white","11","Knight","d","8","d8"
"echess","104031688","11...bxc3","black","11","pawn","c","3","c3"
"echess","104031688","10.Nxe6","white","10","Knight","e","6","e6"
"echess","104031688","10...cxb4","black","10","pawn","b","4","b4"
"echess","104031688","9.Bxa6","white","9","Bishop","a","6","a6"
