"link","type","ID","Event","Date","White","Black","Result","WhiteElo","BlackElo","TimeControl"
"http://www.chess.com/livechess/game?id=1054508780","livechess",1054508780,"Live Chess","2015-02-09","cesarmasa","thinkboolean","0-1","1183","1175","5|0"
"http://www.chess.com/livechess/game?id=1054510123","livechess",1054510123,"Live Chess","2015-02-09","thinkboolean","BaldUrKkK","0-1","1167","1185","5|0"
"http://www.chess.com/livechess/game?id=1057019716","livechess",1057019716,"Live Chess","2015-02-11","thinkboolean","goodtime","1-0","1176","1187","5|0"
"http://www.chess.com/livechess/game?id=1057022886","livechess",1057022886,"Live Chess","2015-02-11","ingeloa","thinkboolean","1-0","1222","1169","5|0"
"http://www.chess.com/livechess/game?id=1057030725","livechess",1057030725,"Live Chess","2015-02-11","thinkboolean","lauti123","0-1","1161","1185","5|0"
"http://www.chess.com/livechess/game?id=1057089187","livechess",1057089187,"Live Chess","2015-02-11","BurakBakkal","thinkboolean","1-0","1144","1152","5|0"
"http://www.chess.com/livechess/game?id=1057092496","livechess",1057092496,"Live Chess","2015-02-11","thinkboolean","Galenocubano","0-1","1145","1194","5|0"
"http://www.chess.com/livechess/game?id=1057098935","livechess",1057098935,"Live Chess","2015-02-11","kgx","thinkboolean","0-1","1145","1153","5|0"
"http://www.chess.com/livechess/game?id=1057102992","livechess",1057102992,"Live Chess","2015-02-11","hwhap","thinkboolean","0-1","1124","1161","5|0"
"http://www.chess.com/livechess/game?id=1057109297","livechess",1057109297,"Live Chess","2015-02-11","thinkboolean","senolip","0-1","1153","1178","5|0"
"http://www.chess.com/livechess/game?id=1057234857","livechess",1057234857,"Live Chess","2015-02-11","deep_bughaw","thinkboolean","1-0","1146","1145","5|0"
"http://www.chess.com/livechess/game?id=1057239427","livechess",1057239427,"Live Chess","2015-02-11","515bgfish","thinkboolean","0-1","1088","1152","5|0"
"http://www.chess.com/livechess/game?id=1057244671","livechess",1057244671,"Live Chess","2015-02-11","thinkboolean","BATTLETORULE","1-0","1159","1110","5|0"
"http://www.chess.com/livechess/game?id=1060698168","livechess",1060698168,"Live Chess","2015-02-15","thinkboolean","picaso12","0-1","1150","1131","3|0"
"http://www.chess.com/livechess/game?id=1061333139","livechess",1061333139,"Live Chess","2015-02-15","Doyoulikechess","thinkboolean","0-1","1204","1159","3|0"
"http://www.chess.com/livechess/game?id=1061334704","livechess",1061334704,"Live Chess","2015-02-15","thinkboolean","danzarrella","1-0","1168","1192","3|0"
"http://www.chess.com/livechess/game?id=1061337728","livechess",1061337728,"Live Chess","2015-02-15","danzarrella","thinkboolean","0-1","1183","1177","3|0"
"http://www.chess.com/livechess/game?id=1061340246","livechess",1061340246,"Live Chess","2015-02-16","thinkboolean","danzarrella","1-0","1185","1175","3|0"
"http://www.chess.com/livechess/game?id=1062077657","livechess",1062077657,"Live Chess","2015-02-16","valgards","thinkboolean","1-0","1118","1175","3|0"
"http://www.chess.com/livechess/game?id=1062078768","livechess",1062078768,"Live Chess","2015-02-16","daal61","thinkboolean","1-0","1238","1168","3|0"
"http://www.chess.com/livechess/game?id=1062081398","livechess",1062081398,"Live Chess","2015-02-16","thinkboolean","mt_chess12","0-1","1159","1142","3|0"
"http://www.chess.com/livechess/game?id=1062116703","livechess",1062116703,"Live Chess","2015-02-16","Fantesticals","thinkboolean","0-1","1189","1168","5|0"
"http://www.chess.com/livechess/game?id=1062120583","livechess",1062120583,"Live Chess","2015-02-16","thinkboolean","rfedak70","1-0","1177","1187","5|0"
"http://www.chess.com/livechess/game?id=1062127496","livechess",1062127496,"Live Chess","2015-02-16","playnique","thinkboolean","0-1","1159","1185","5|0"
"http://www.chess.com/livechess/game?id=1062131903","livechess",1062131903,"Live Chess","2015-02-16","thinkboolean","sohaib1991","0-1","1178","1226","5|0"
"http://www.chess.com/livechess/game?id=1062135787","livechess",1062135787,"Live Chess","2015-02-16","sohaib1991","thinkboolean","0-1","1217","1187","5|0"
"http://www.chess.com/livechess/game?id=1062141998","livechess",1062141998,"Live Chess","2015-02-16","thinkboolean","Buffalomathprofessor","0-1","1180","1219","5|0"
