"Site","Date","Round","White","Black","Result","ECO","WhiteElo","BlackElo","Annotator","Source","Remark","pgn","ID","Time","Moves","Termination"
"Paris (France)","1802.??.??","?","Madame De Remusat","Napoleon I","0-1","B02",0,0,NA,NA,NA,"1.e4 Nf6 2.d3 Nc6 3.f4 e5 4.fxe5 Nxe5 5.Nc3 Nfg4 6.d4 Qh4+ 7.g3 Qf6 8.Nh3 Nf3+ 9.Ke2 Nxd4+ 10.Kd3 Ne5+ 11.Kxd4 Bc5+ 12.Kxc5 Qb6+ 13.Kd5 Qd6# 0-1')"">","o_13","","",""
"","","","erik","Kngbshpp","1-0","",1621,1154,NA,NA,NA,"","c_13","1 week","18","resignation"
"","","","orland","JustinianP","1-0","",1444,1407,NA,NA,NA,"","l_13","              5 min","26","game abandoned"
"Malmaison Castle (France)","1804.??.??","?","Napoleon I","Madame De Remusat","1-0","A00",0,0,NA,NA,NA,"1.Nc3 e5 2.Nf3 d6 3.e4 f5 4.h3 fxe4 5.Nxe4 Nc6 6.Nfg5 d5 7.Qh5+ g6 8.Qf3 Nh6 9.Nf6+ Ke7 10.Nxd5+ Kd6 11.Ne4+ Kxd5 12.Bc4+ Kxc4 13.Qb3+ Kd4 14.Qd3# 1-0')"">","o_14","","",""
"","","","marsh_1","BeginningIsComing","0-1","",881,1425,NA,NA,NA,"","l_14","              10 min","20","resignation"
"St. Petersburg (Russia)","1807.??.??","?","Petroff Alexander D (RUS)","Sokolow (UKR)","0-1","C40",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 f6 3.Nxe5 fxe5 4.Qh5+ g6 5.Qxe5+ Qe7 6.Qxh8 Nf6 7.d3 d5 8.Bh6 Nbd7 9.Bxf8 Nxf8 10.Nc3 Be6 11.e5 Nh5 12.g4 O-O-O 13.gxh5 Nd7 0-1')"">","o_15","","",""
"","","","Ferris","BOYLE","0-1","",1200,1200,NA,NA,NA,"","c_15","21 hours","25—?,","time"
"","","","jpwagschal","dru128","0-1","",1372,1402,NA,NA,NA,"","l_15","              2|1","40","time"
"Warsaw (Poland)","1807.??.??","?","Petroff Alexander D (RUS)","Gofman Alexander","1-0","C33",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 Ne7 7.e5 Nf5 8.Nf3 Qh5 9.Kg1 h6 10.Nd5 Kd8 11.h4 Qg6 12.hxg5 hxg5 13.Rxh8+ Bxh8 14.Nxg5 Qxg5 15.Bxf4 Qg6 16.Qd2 d6 17.Bg5+ Kd7 18.Rf1 Nc6 19.Bd3 Ncxd4 20.c3 Qe6 21.cxd4 Qxd5 22.Bxf5+ Ke8 23.Bxc8 Rxc8 24.Qf4 dxe5 25.Qf5 Qe6 26.Qh7 Kd7 27.Rxf7+ Kc6 28.Qc2+ Kb6 29.Qc5+ Ka6 30.Qa3+ Kb5 31.Qc5+ Ka6 32.Qa3+ Kb5 33.Qd3+ Kb6 34.d5 Qxf7 35.Qb3+ Ka6 36.Qc4+ Kb6 37.Be3+ c5 38.dxc6+ 1-0')"">","o_16","","",""
"","","","Ferris","BOYLE","0-1","",1200,1200,NA,NA,NA,"","c_16","21 hours","25—?,","time"
"Schoenbrunn (Austria)","1809.??.??","?","Napoleon I","The Automaton","0-1","C20",0,0,NA,NA,NA,"1.e4 e5 2.Qf3 Nc6 3.Bc4 Nf6 4.Ne2 Bc5 5.a3 d6 6.O-O Bg4 7.Qd3 Nh5 8.h3 Bxe2 9.Qxe2 Nf4 10.Qe1 Nd4 11.Bb3 Nxh3+ 12.Kh2 Qh4 13.g3 Nf3+ 14.Kg2 Nxe1+ 15.Rxe1 Qg4 16.d3 Bxf2 17.Rh1 Qxg3+ 18.Kf1 Bd4 19.Ke2 Qg2+ 20.Kd1 Qxh1+ 21.Kd2 Qg2+ 22.Ke1 Ng1 23.Nc3 Bxc3+ 24.bxc3 0-1')"">","o_17","","",""
"","","","afs","Ferris","0-1","",1200,1200,NA,NA,NA,"","c_17","8 minutes","2","resignation"
"","","","anothernoob","CMDantes719","1-0","",1135,1293,NA,NA,NA,"","l_17","              10 min","37","checkmate"
"Budapest (Hungary)","1816.??.??","?","Heltay","Janniy","0-1","A40",0,0,NA,NA,NA,"1.d4 e5 2.d5 f5 3.c4 Nf6 4.Nc3 Bc5 5.Nf3 O-O 6.a3 d6 7.b4 Bd4 8.Bb2 f4 9.Ng5 Bxf2+ 10.Kxf2 Ng4+ 11.Kg1 Qxg5 12.h4 f3 0-1')"">","o_18","","",""
"","","","Ferris","andremarques","0-1","",1200,1200,NA,NA,NA,"","c_18","6 minutes","3","time"
"St. Helena (Great Britain)","1818.??.??","?","Napoleon I","General Bertrand","1-0","C44",0,0,NA,NA,NA,"1.Nf3 Nc6 2.e4 e5 3.d4 Nxd4 4.Nxd4 exd4 5.Bc4 Bc5 6.c3 Qe7 7.O-O Qe5 8.f4 dxc3+ 9.Kh1 cxb2 10.Bxf7+ Kd8 11.fxe5 bxa1Q 12.Bxg8 Be7 13.Qb3 a5 14.Rf8+ Bxf8 15.Bg5+ Be7 16.Bxe7+ Kxe7 17.Qf7+ Kd8 18.Qf8# 1-0')"">","o_19","","",""
"Paris (France)","1821.??.??","?","De La Bourdonnais Louis C (FRA)","Cochrane John (SCO)","0-1","C37",0,0,NA,NA,NA,"1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 f3 7.g3 Qh3+ 8.Kf2 Qg2+ 9.Ke3 Bh6+ 10.Kd3 d5 11.Bxd5 Na6 12.c3 c6 13.Bxf7+ Ke7 14.Bb3 Nc5+ 15.Kc2 Nxe4 16.Qf1 Bf5 17.Qxg2 Nf2+ 18.d3 fxg2 19.Rg1 Rd8 20.Bxh6 Nxh6 21.Rxg2 Nxd3 22.Nxd3 Bxd3+ 23.Kc1 Rhf8 24.Nd2 Nf5 25.Bd1 Ne3 26.Rg1 Bf1 27.b3 Rf2 28.Rxf1 Nxf1 29.Nxf1 Rxd1+ 30.Kxd1 Rxf1+ 0-1')"">","o_20","","",""
"","","","Kenad","brusselsshrek","1-0","",1387,1346,NA,NA,NA,"","l_20","              10 min","75","time"
"London (England)","1826.??.??","?","Evans William (ENG)","MacDonnell Alexander (ENG)","1-0","C52",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.O-O d6 7.d4 Bg4 8.Qb3 Qd7 9.Ng5 Nd8 10.dxe5 dxe5 11.Ba3 Nh6 12.f3 Bb6+ 13.Kh1 Bh5 14.Rd1 Qc8 15.Rxd8+ Qxd8 16.Nxf7 Qh4 17.Qb5+ c6 18.Qxe5+ Kd7 19.Qe6+ Kc7 20.Bd6# 1-0')"">","o_21","","",""
"","","","billwall","erik","1-0","",1495,1367,NA,NA,NA,"","c_21","3 days","15","resignation"
"","","","Jaysee71","chess_cowboy","","",1114,1262,NA,NA,NA,"","l_21","              15 min","11","resignation"
"London (England)","1829.??.??","?","Evans William (ENG)","MacDonnell Alexander (ENG)","1-0","C51",0,0,NA,NA,NA,"1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Bc5 6.O-O Nf6 7.d4 exd4 8.cxd4 Bb6 9.e5 d5 10.exf6 dxc4 11.Re1+ Kf8 12.Ba3+ Kg8 13.d5 Na5 14.Be7 Qd7 15.fxg7 Kxg7 16.Qd2 Qg4 17.Qc3+ Kg8 18.Qxh8+ Kxh8 19.Bf6+ Qg7 20.Re8# 1-0')"">","o_22","","",""
"","","","Danbec24","tanmay_2002","1-0","",1264,1425,NA,NA,NA,"","l_22","              10 min","26","resignation"
"London (England)","1834.??.??","?","De La Bourdonnais Louis C (FRA)","MacDonnell Alexander (ENG)","0-1","A03",0,0,NA,NA,NA,"1.f4 d5 2.d4 c5 3.e3 Nc6 4.Nf3 Nf6 5.c4 Bg4 6.cxd5 Bxf3 7.Qxf3 Qxd5 8.Qxd5 Nxd5 9.Bb5 cxd4 10.exd4 Ndb4 11.Na3 O-O-O 12.Bxc6 Nxc6 13.Be3 Nxd4 14.O-O-O e5 15.Nc4 Bc5 16.Bxd4 exd4 17.Rhe1 f6 18.Re6 Rhe8 19.Rde1 Rxe6 20.Rxe6 Kd7 21.f5 Re8 22.Rxe8 Kxe8 23.Kc2 Kd7 24.Kd3 Kc6 25.Ke4 Kb5 26.Nd2 Kb4 27.Kd3 Bd6 28.Nf3 Be5 29.h4 Kc5 30.Ke4 h5 31.Nd2 b5 32.Nb3+ Kc4 33.Na5+ Kb4 34.Nc6+ Kc4 35.Na5+ Kb4 36.Nc6+ Kc5 37.Na5 b4 38.Nb3+ Kc4 39.Nd2+ Kb5 40.b3 a5 41.Kd5 Bf4 42.Nc4 d3 43.Nb2 d2 44.Ke4 Be5 45.Nd1 Bg3 46.Ke3 Be1 47.Ke2 Kc5 48.Ne3 Kd4 49.Nc4 Kc3 50.Kd1 a4 51.Na5 axb3 52.axb3 Bxh4 53.Nc4 Bg5 0-1')"">","o_23","","",""
"","","","erik","Quaff","1-0","",1610,1456,NA,NA,NA,"","c_23","2 weeks","26","resignation"
"","","","EdwardScott","Gomezmania","0-1","",1014,1216,NA,NA,NA,"","l_23","              1|5","33","resignation"
"London (England)","1834.??.??","?","De La Bourdonnais Louis C (FRA)","MacDonnell Alexander (ENG)","1-0","A03",0,0,NA,NA,NA,"1.f4 d5 2.d4 c5 3.e3 e6 4.Nf3 Nc6 5.c4 cxd4 6.exd4 dxc4 7.Bxc4 Nf6 8.Nc3 Be7 9.O-O O-O 10.Kh1 a6 11.Be3 b5 12.Bd3 Bb7 13.Ne5 Kh8 14.Bc2 Nb4 15.Bb3 Nbd5 16.Nxd5 Nxd5 17.Qe2 f6 18.Nf3 Qe8 19.Rae1 Bd6 20.Bd2 Nxf4 21.Bxf4 Bxf4 22.Bxe6 Qh5 23.g4 Qh6 24.d5 Rae8 25.Qg2 Re7 26.Nd4 g6 27.Nc6 Rc7 28.Re4 g5 29.Nd4 Rd8 30.Nf5 Qf8 31.Rd1 Rc5 32.Red4 Be5 33.R4d2 Rc4 34.Ne3 Rc7 35.Qf3 Bf4 36.Rd3 Qd6 37.Nf5 Qxe6 38.dxe6 Bxf3+ 39.Kg1 Rxd3 40.Rxd3 Rc8 41.e7 Re8 42.Rxf3 Kg8 43.Ra3 Kf7 44.Rxa6 Rc8 45.b3 Be5 46.h3 b4 47.Kg2 Bf4 48.Kf3 Be5 49.Ke4 Bf4 50.Ra7 Be5 51.Ng7 Re8 52.Nxe8 Kxe8 53.Kf5 Kf7 54.Rb7 1-0')"">","o_24","","",""
"","","","TraglorfBob","erik","0-1","",1127,1506,NA,NA,NA,"","c_24","4 days","26","checkmate"
"","","","zimmcg","SimmThomp","1-0","",1457,1255,NA,NA,NA,"","l_24","              10 min","50","resignation"
"London (England)","1834.??.??","?","De La Bourdonnais Louis C (FRA)","MacDonnell Alexander (ENG)","1/2-1/2","C21",0,0,NA,NA,NA,"1.e4 e5 2.d4 exd4 3.Nf3 c5 4.Bc4 Nc6 5.c3 Qf6 6.O-O d6 7.cxd4 cxd4 8.Ng5 Nh6 9.f4 Be7 10.e5 Qg6 11.exd6 Qxd6 12.Na3 O-O 13.Bd3 Bf5 14.Nc4 Qg6 15.Nf3 Bxd3 16.Nce5 Bc2 17.Nxg6 Bxd1 18.Nxe7+ Nxe7 19.Rxd1 Nhf5 20.g4 Ne3 21.Bxe3 dxe3 22.Rd7 Rfe8 23.Re1 Ng6 24.f5 Nf4 25.Rd4 Nh3+ 26.Kg2 Nf2 27.Rc4 Rad8 28.h3 h6 29.Re2 b5 30.Rd4 Rxd4 31.Nxd4 a6 32.Kf3 Nxh3 33.Rxe3 Ng5+ 34.Kf4 Rxe3 35.Kxe3 g6 36.fxg6 fxg6 37.Nc6 Ne6 38.Ke4 Kf7 39.Ke5 h5 40.gxh5 gxh5 41.Kf5 Nc7 42.b3 Ke8 43.a4 bxa4 44.bxa4 Nd5 45.Kg5 Ne7 46.Nb8 a5 47.Na6 Ng6 48.Kxh5 Nf4+ 49.Kg5 Ne6+ 50.Kf5 Kd7 51.Ke5 Nd8 1/2-1/2')"">","o_25","","",""
"","","","BBoyK","rafidasfar","0-1","",1649,1200,NA,NA,NA,"","l_25","              20|10","40","game abandoned"
